Index,Value
130,-0.143947
131,0.121227
132,-0.15887
133,0.0277109
134,0.0499716
135,-0.047608
136,0.0795468
137,-0.0445363
138,0.0256125
139,-0.0427347
140,0.00981612
141,-0.055305
142,0.0311911
143,0.031868
144,0.0638012
145,-0.069015
146,0.0269696
147,-0.0134445
148,-0.101789
149,0.0418203
150,-0.0100375
151,0.0180659
152,-0.045007
153,-0.0962469
154,0.0336065
155,-0.0180663
156,0.00588639
157,-0.00700376
158,0.0432337
159,-0.0141527
160,0.00647194
161,0.020706
162,0.00476246
163,-0.0454285
164,0.0316042
165,0.110553
166,0.0736174
167,-0.0293818
168,0.0283867
169,-0.0311323
170,0.00723788
171,-0.001836
172,-0.00983846
173,0.00869637
174,-0.0523315
175,-0.0154725
176,0.0132718
177,-0.0447087
178,-0.0361641
179,-0.0271313
180,0.0989275
181,0.112359
182,0.0286731
183,0.0230822
184,-0.0471019
185,-0.0322857
186,1.17852e-05
187,-0.0135251
188,-0.0727382
189,0.028338
190,0.00985659
191,0.0854595
192,0.00707834
193,-0.0598883
194,-0.0372465
195,-0.0374932
196,-0.0168674
197,-0.0520093
198,-0.00214098
199,0.0899297
200,0.0568556
201,0.0482689
202,-0.0439416
203,-0.0316393
204,-0.0530637
205,-0.0772394
206,0.0694798
207,0.100333
208,0.0352684
209,-0.0369233
210,-0.0897516
211,-0.0145462
212,0.0174651
213,0.0437646
214,-0.0254813
215,-0.0358661
216,0.0385175
217,0.0834545
218,0.202934
219,0.0140542
220,-0.129109
221,0.0103053
222,0.21855
223,0.0476971
224,-0.198531
225,-0.0499342
226,0.210082
227,0.0383033
228,-0.177378
229,-0.0425474
230,0.1763
231,0.0369205
232,-0.228928
233,0.046697
234,0.275096
235,-0.112169
236,-0.184693
237,0.142742
238,0.0758473
239,-0.174968
240,-0.0152097
241,0.229416
242,-0.192698
243,-0.0580596
244,0.196429
245,-0.0453921
246,-0.115107
247,0.160922
248,-0.0158234
249,-0.152738
250,0.210846
251,0.00222272
